                         | chisq/nDoF |     Q      |  fitCrit   | 
  twoExp tmin= 9 tmax= 15|       2.053|       0.084|   5.438e+04|  m=  0.3045 +/-  0.0023, m'= 3.172 +/- 1.926, A= 0.300 +/- 0.011
  twoExp tmin= 4 tmax= 15|       1.226|       0.273|   4.762e+04|  m=  0.3009 +/-  0.0027, m'= 0.755 +/- 0.018, A= 0.331 +/- 0.014
  twoExp tmin= 3 tmax= 15|       1.470|       0.144|   3.666e+04|  m=  0.3030 +/-  0.0024, m'= 0.778 +/- 0.015, A= 0.317 +/- 0.011
  twoExp tmin= 5 tmax= 15|       1.217|       0.284|   3.129e+04|  m=  0.2993 +/-  0.0031, m'= 0.734 +/- 0.024, A= 0.342 +/- 0.017
  twoExp tmin= 6 tmax= 15|       1.383|       0.207|   1.512e+04|  m=  0.2989 +/-  0.0035, m'= 0.729 +/- 0.034, A= 0.344 +/- 0.021
  twoExp tmin= 7 tmax= 15|       1.586|       0.147|   6.106e+03|  m=  0.2980 +/-  0.0042, m'= 0.713 +/- 0.049, A= 0.351 +/- 0.028
  twoExp tmin= 8 tmax= 15|       3.257|       0.006|   5.773e+03|  m=  0.3079 +/-  0.0020, m'= 2.901 +/- 1.912, A= 0.279 +/- 0.009
 oneExp tmin= 10 tmax= 15|      47.691|       0.000|   2.713e-46|  m=  0.3504 +/-  0.0011
  oneExp tmin= 9 tmax= 15|      78.070|       0.000|   1.125e-94|  m=  0.3582 +/-  0.0010
  oneExp tmin= 8 tmax= 15|      96.136|       0.000|  1.220e-137|  m=  0.3643 +/-  0.0010
  oneExp tmin= 7 tmax= 15|     126.044|       0.000|  7.366e-209|  m=  0.3716 +/-  0.0009
  oneExp tmin= 6 tmax= 15|     167.588|       0.000|  1.083e-315|  m=  0.3773 +/-  0.0010
  oneExp tmin= 3 tmax= 15|     285.147|       0.000|   0.000e+00|  m=  0.3903 +/-  0.0010
